Type,Buy Amount,Buy Cur.,Sell Amount,Sell Cur.,Fee Amount (optional),Fee Cur. (optional),Exchange (optional),Trade Group (optional),Comment (optional),Date,Tx-ID
"Mining","0.04509886000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2022-01-03T00:01:00", "DFI20220103000100_Commission"
"Trade","0.118771875","USDC-DFI","0.13142932000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2022-01-02T21:30:33", "1USDC-DFI20220102213033"
"Trade","0.118771875","USDC-DFI","0.43950514000000","USDC","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2022-01-02T21:30:33", "1USDC-DFI20220102213033"
"Trade","0.00023098","BTC-DFI","0.00000409000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2022-01-02T16:30:04", "1BTC-DFI20220102163004"
"Trade","0.00023098","BTC-DFI","0.05221220000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2022-01-02T16:30:04", "1BTC-DFI20220102163004"
"Trade","0.000105505","ETH-DFI","0.00000649000000","ETH","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2022-01-02T16:17:50", "1ETH-DFI20220102161750"
"Trade","0.000105505","ETH-DFI","0.00688573000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2022-01-02T16:17:50", "1ETH-DFI20220102161750"
"Mining","0.00000276000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2022-01-02T00:01:00", "BTC20220102000100_Commission"
"Mining","0.00004872000000","ETH","","","","","DeFiChain Light Wallet","","Commission","2022-01-02T00:01:00", "ETH20220102000100_Commission"
"Mining","4.34337834000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2022-01-02T00:01:00", "DFI20220102000100_Rewards"
"Mining","0.40490097000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2022-01-02T00:01:00", "DFI20220102000100_Commission"
"Mining","0.90311552000000","USDC","","","","","DeFiChain Light Wallet","","Commission","2022-01-02T00:01:00", "USDC20220102000100_Commission"
"Trade","0.14292731","USDC-DFI","0.54849885000000","USDC","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2022-01-01T16:40:18", "1USDC-DFI20220101164018"
"Trade","0.14292731","USDC-DFI","0.15317583000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2022-01-01T16:40:18", "1USDC-DFI20220101164018"
"Trade","0.00047743","BTC-DFI","0.00000851000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2022-01-01T16:39:08", "1BTC-DFI20220101163908"
"Trade","0.00047743","BTC-DFI","0.10718194000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2022-01-01T16:39:08", "1BTC-DFI20220101163908"
"Trade","0.00091709","ETH-DFI","0.00005709000000","ETH","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2022-01-01T16:33:30", "1ETH-DFI20220101163330"
"Trade","0.00091709","ETH-DFI","0.05901288000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2022-01-01T16:33:30", "1ETH-DFI20220101163330"
"Mining","0.00001133000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2022-01-01T00:01:00", "BTC20220101000100_Commission"
"Mining","0.00002666000000","ETH","","","","","DeFiChain Light Wallet","","Commission","2022-01-01T00:01:00", "ETH20220101000100_Commission"
"Mining","2.71221924000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2022-01-01T00:01:00", "DFI20220101000100_Rewards"
"Mining","0.24717794000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2022-01-01T00:01:00", "DFI20220101000100_Commission"
"Mining","0.38793383000000","USDC","","","","","DeFiChain Light Wallet","","Commission","2022-01-01T00:01:00", "USDC20220101000100_Commission"
"Trade","0.068310485","USDC-DFI","0.07560338000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-31T18:05:14", "1USDC-DFI20211231180514"
"Trade","0.068310485","USDC-DFI","0.25272962000000","USDC","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-31T18:05:14", "1USDC-DFI20211231180514"
"Trade","0.0000374","BTC-DFI","0.00888648000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-31T18:02:37", "1BTC-DFI20211231180237"
"Trade","0.0000374","BTC-DFI","0.00000063000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-31T18:02:37", "1BTC-DFI20211231180237"
"Trade","0.00021891","ETH-DFI","0.00001315000000","ETH","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-31T18:01:35", "1ETH-DFI20211231180135"
"Trade","0.00021891","ETH-DFI","0.01459616000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-31T18:01:35", "1ETH-DFI20211231180135"
"Mining","0.00000925000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-31T00:01:00", "BTC20211231000100_Commission"
"Mining","0.00005626000000","ETH","","","","","DeFiChain Light Wallet","","Commission","2021-12-31T00:01:00", "ETH20211231000100_Commission"
"Mining","4.40897812000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-31T00:01:00", "DFI20211231000100_Rewards"
"Mining","0.34467777000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-31T00:01:00", "DFI20211231000100_Commission"
"Mining","0.77608337000000","USDC","","","","","DeFiChain Light Wallet","","Commission","2021-12-31T00:01:00", "USDC20211231000100_Commission"
"Trade","0.084458445","USDC-DFI","0.09283401000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-30T15:36:57", "1USDC-DFI20211230153657"
"Trade","0.084458445","USDC-DFI","0.31463072000000","USDC","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-30T15:36:57", "1USDC-DFI20211230153657"
"Trade","0.00005635","BTC-DFI","0.00000096000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-30T15:33:39", "1BTC-DFI20211230153339"
"Trade","0.00005635","BTC-DFI","0.01323669000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-30T15:33:39", "1BTC-DFI20211230153339"
"Trade","0.000169875","ETH-DFI","0.01123248000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-30T15:33:02", "1ETH-DFI20211230153302"
"Trade","0.000169875","ETH-DFI","0.00001029000000","ETH","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-30T15:33:02", "1ETH-DFI20211230153302"
"Mining","0.00000060000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-30T00:01:00", "BTC20211230000100_Commission"
"Mining","0.00001266000000","ETH","","","","","DeFiChain Light Wallet","","Commission","2021-12-30T00:01:00", "ETH20211230000100_Commission"
"Mining","4.55793056000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-30T00:01:00", "DFI20211230000100_Rewards"
"Mining","0.12900539000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-30T00:01:00", "DFI20211230000100_Commission"
"Mining","0.26890068000000","USDC","","","","","DeFiChain Light Wallet","","Commission","2021-12-30T00:01:00", "USDC20211230000100_Commission"
"Trade","0.06378234","USDC-DFI","0.06976129000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-29T15:26:23", "1USDC-DFI20211229152623"
"Trade","0.06378234","USDC-DFI","0.23878444000000","USDC","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-29T15:26:23", "1USDC-DFI20211229152623"
"Trade","0.00005511","BTC-DFI","0.00000094000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-29T15:25:27", "1BTC-DFI20211229152527"
"Trade","0.00005511","BTC-DFI","0.01293158000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-29T15:25:27", "1BTC-DFI20211229152527"
"Trade","0.000192995","ETH-DFI","0.00001162000000","ETH","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-29T15:24:35", "1ETH-DFI20211229152435"
"Trade","0.000192995","ETH-DFI","0.01283871000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-29T15:24:35", "1ETH-DFI20211229152435"
"Mining","0.00000072000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-29T00:01:00", "BTC20211229000100_Commission"
"Mining","0.00000563000000","ETH","","","","","DeFiChain Light Wallet","","Commission","2021-12-29T00:01:00", "ETH20211229000100_Commission"
"Mining","4.28794324000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-29T00:01:00", "DFI20211229000100_Rewards"
"Mining","0.08801339000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-29T00:01:00", "DFI20211229000100_Commission"
"Mining","0.21173802000000","USDC","","","","","DeFiChain Light Wallet","","Commission","2021-12-29T00:01:00", "USDC20211229000100_Commission"
"Trade","0.102235835","USDC-DFI","0.38632256000000","USDC","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-28T15:20:12", "1USDC-DFI20211228152012"
"Trade","0.102235835","USDC-DFI","0.11078301000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-28T15:20:12", "1USDC-DFI20211228152012"
"Trade","0.00020349","BTC-DFI","0.04775241000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-28T15:19:50", "1BTC-DFI20211228151950"
"Trade","0.00020349","BTC-DFI","0.00000347000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-28T15:19:50", "1BTC-DFI20211228151950"
"Trade","0.000711755","ETH-DFI","0.04760811000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-28T15:18:42", "1ETH-DFI20211228151842"
"Trade","0.000711755","ETH-DFI","0.00004262000000","ETH","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-28T15:18:42", "1ETH-DFI20211228151842"
"Mining","0.00000102000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2021-12-28T00:01:00", "BTC20211228000100_Commission"
"Mining","0.00001379000000","ETH","","","","","DeFiChain Light Wallet","","Commission","2021-12-28T00:01:00", "ETH20211228000100_Commission"
"Mining","4.55968174000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2021-12-28T00:01:00", "DFI20211228000100_Rewards"
"Mining","0.11443762000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2021-12-28T00:01:00", "DFI20211228000100_Commission"
"Mining","0.30834492000000","USDC","","","","","DeFiChain Light Wallet","","Commission","2021-12-28T00:01:00", "USDC20211228000100_Commission"
"Trade","0.11558283","USDC-DFI","0.12588758000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-27T15:32:14", "1USDC-DFI20211227153214"
"Trade","0.11558283","USDC-DFI","0.43547315000000","USDC","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-27T15:32:14", "1USDC-DFI20211227153214"
"Trade","0.00031126","BTC-DFI","0.07403957000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-27T15:30:25", "1BTC-DFI20211227153025"
"Trade","0.00031126","BTC-DFI","0.00000524000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2021-12-27T15:30:25", "1BTC-DFI20211227153025"
"Trade","0.00062528","ETH-DFI","0.04246079000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2021-12-27T15:25:55", "1ETH-DFI20211227152555"
