Type,"Buy Amount","Buy Cur.","Sell Amount","Sell Cur.","Fee Amount (optional)","Fee Cur. (optional)","Exchange (optional)","Trade Group (optional)","Comment (optional)",Date,Tx-ID
"Reward / Bonus",0.00000060000000,BTC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2021-12-30T00:01:00,BTC20211230000100_Commission
"Reward / Bonus",0.00001266000000,ETH,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2021-12-30T00:01:00,ETH20211230000100_Commission
"Reward / Bonus",4.55793056000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2021-12-30T00:01:00,DFI20211230000100_Rewards
"Reward / Bonus",0.12900539000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2021-12-30T00:01:00,DFI20211230000100_Commission
"Reward / Bonus",0.26890068000000,USDC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2021-12-30T00:01:00,USDC20211230000100_Commission
"Income (non taxable)",0.12756468,USDC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2021-12-29T15:26:23,1USDC-DFI20211229152623
"Other Expense",,,0.06976129000000,USDC,,,"DeFiChain Light Wallet",,"Add liquidity USDC-DFI",2021-12-29T15:26:23,1USDC-DFI20211229152623
"Other Expense",,,0.23878444000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity USDC-DFI",2021-12-29T15:26:23,1USDC-DFI20211229152623
"Income (non taxable)",0.00011022,BTC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2021-12-29T15:25:27,1BTC-DFI20211229152527
"Other Expense",,,0.00000094000000,BTC,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2021-12-29T15:25:27,1BTC-DFI20211229152527
"Other Expense",,,0.01293158000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2021-12-29T15:25:27,1BTC-DFI20211229152527
"Income (non taxable)",0.00038599,ETH-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2021-12-29T15:24:35,1ETH-DFI20211229152435
"Other Expense",,,0.00001162000000,ETH,,,"DeFiChain Light Wallet",,"Add liquidity ETH-DFI",2021-12-29T15:24:35,1ETH-DFI20211229152435
"Other Expense",,,0.01283871000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity ETH-DFI",2021-12-29T15:24:35,1ETH-DFI20211229152435
"Reward / Bonus",0.00000072000000,BTC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2021-12-29T00:01:00,BTC20211229000100_Commission
"Reward / Bonus",0.00000563000000,ETH,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2021-12-29T00:01:00,ETH20211229000100_Commission
"Reward / Bonus",4.28794324000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2021-12-29T00:01:00,DFI20211229000100_Rewards
"Reward / Bonus",0.08801339000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2021-12-29T00:01:00,DFI20211229000100_Commission
"Reward / Bonus",0.21173802000000,USDC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2021-12-29T00:01:00,USDC20211229000100_Commission
"Income (non taxable)",0.20447167,USDC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2021-12-28T15:20:12,1USDC-DFI20211228152012
"Other Expense",,,0.38632256000000,USDC,,,"DeFiChain Light Wallet",,"Add liquidity USDC-DFI",2021-12-28T15:20:12,1USDC-DFI20211228152012
"Other Expense",,,0.11078301000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity USDC-DFI",2021-12-28T15:20:12,1USDC-DFI20211228152012
"Income (non taxable)",0.00040698,BTC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2021-12-28T15:19:50,1BTC-DFI20211228151950
